Route_Name,Route_Link
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
Lucknow to Allahabad,https://www.redbus.in/bus-tickets/lucknow-to-allahabad
Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
Delhi to Farrukhabad (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up
Farrukhabad (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi
Badaun to Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi
Allahabad to Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow
Lucknow to Agra,https://www.redbus.in/bus-tickets/lucknow-to-agra
Sitapur (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/sitapur-to-delhi
Delhi to Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun
Delhi to Sitapur (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-sitapur
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi
Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
Agra to Lucknow,https://www.redbus.in/bus-tickets/agra-to-lucknow
Lucknow to Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi
Agra to Bareilly,https://www.redbus.in/bus-tickets/agra-to-bareilly
Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly
Bareilly to Agra,https://www.redbus.in/bus-tickets/bareilly-to-agra
Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra
Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow
Moradabad to Delhi,https://www.redbus.in/bus-tickets/moradabad-to-delhi
Kanpur (Uttar Pradesh) to Jhansi,https://www.redbus.in/bus-tickets/kanpur-to-jhansi
Delhi to Shahjahanpur (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-shahjahanpur
Shahjahanpur (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/shahjahanpur-to-delhi
Gorakhpur (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow
Kanpur (Uttar Pradesh) to Bareilly,https://www.redbus.in/bus-tickets/kanpur-to-bareilly
Lucknow to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-aligarh
Lucknow to Kanpur (Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-kanpur
Delhi to Pilibhit,https://www.redbus.in/bus-tickets/delhi-to-pilibhit
Lucknow to Ballia,https://www.redbus.in/bus-tickets/lucknow-to-ballia
Delhi to Etah (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-etah-up
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
Aligarh (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/aligarh-to-lucknow
Aligarh (uttar pradesh) to Agra,https://www.redbus.in/bus-tickets/aligarh-to-agra
Bareilly to Dehradun,https://www.redbus.in/bus-tickets/bareilly-to-dehradun
Pilibhit to Delhi,https://www.redbus.in/bus-tickets/pilibhit-to-delhi
Bareilly to Lucknow,https://www.redbus.in/bus-tickets/bareilly-to-lucknow
Delhi to Dehradun,https://www.redbus.in/bus-tickets/delhi-to-dehradun
Varanasi to Allahabad,https://www.redbus.in/bus-tickets/varanasi-to-allahabad
Lucknow to Mathura,https://www.redbus.in/bus-tickets/lucknow-to-mathura
Jhansi to Kanpur (Uttar Pradesh),https://www.redbus.in/bus-tickets/jhansi-to-kanpur
Dehradun to Bareilly,https://www.redbus.in/bus-tickets/dehradun-to-bareilly
Kanpur (Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/kanpur-to-lucknow
Aligarh (uttar pradesh) to Greater noida (uttar pradesh),https://www.redbus.in/bus-tickets/aligarh-to-greater-noida
Etah (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/etah-up-to-delhi
